legacy_uuid,legacy_name,legacy_identifier,legacy_type,ref_count,field,target_name,target_identifier,target_type,method,confidence,apply,relation_action,notes,software
ee2627f7-20c1-454d-ae1c-e76f8fccc93b,SuperMAG,https://helio.data.nasa.gov/mission/SuperMAG,Observatory,2,Observatories,SuperMAG,https://spase-metadata.org/SMWG/Observatory/SuperMAG,Observatory,helio-bridge,high,yes,rewrite,,Kaipy; PySPEDAS
684a11e7-fc49-4d2e-94ce-df957604655b,Imager for Magnetopause-to-Aurora Global Exploration (IMAGE),https://helio.data.nasa.gov/mission/IMAGE,Observatory,2,Observatories,Imager for Magnetopause-to-Aurora Global Exploration,https://spase-metadata.org/SMWG/Observatory/IMAGE,Observatory,helio-bridge,high,yes,rewrite,,OCBpy; PySPEDAS
e3ff8ce1-1631-4dca-aff1-0f15cd41dc83,Communications/Navigation Outage Forecasting System (C/NOFS),https://helio.data.nasa.gov/mission/CNOFS,Observatory,2,Observatories,Communication/Navigation Outage Forecasting System,https://spase-metadata.org/SMWG/Observatory/CNOFS,Observatory,helio-bridge,high,yes,rewrite,,OMMBV; PySPEDAS
30fbdc75-1ab6-43f1-a3f0-e69741ad71da,"2015-007A (Deep Space Climate Observatory, DSCOVR)",https://helio.data.nasa.gov/mission/DSCOVR,Observatory,2,Observatories,"Deep Space Climate Observatory, DSCOVR",https://spase-metadata.org/SMWG/Observatory/DSCOVR,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
6bff6089-83c3-47a2-8946-24890b81cf97,"Acceleration, Reconnection, Turbulence, Electrodynamics of the Moon’s Interaction with the Sun (ARTEMIS)",https://helio.data.nasa.gov/mission/ARTEMIS,Observatory,2,Observatories,"Acceleration, Reconnection, Turbulence, Electrodynamics of the Moon’s Interaction with the Sun",https://spase-metadata.org/SMWG/Observatory/ARTEMIS,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
6d81a2fe-3589-4d99-8c24-f127a8822da3,Balloon Array for Radiation-belt Relativistic Electron Losses (BARREL),https://helio.data.nasa.gov/mission/BARREL,Observatory,2,Observatories,Balloon Array for Radiation-belt Relativistic Electron Losses,https://spase-metadata.org/SMWG/Observatory/BARREL,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
1778ecc2-7605-4ff5-adb5-faf4acd73c7e,ELFIN,,Observatory,2,Observatories,,,,manual,low,no,,no canonical name match,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
5f11a1d9-b5bb-4ec4-b282-56acfdafb111,EXOS-D (AKEBONO),https://helio.data.nasa.gov/mission/Akebono,Observatory,2,Observatories,AKEBONO,https://spase-metadata.org/SMWG/Observatory/Akebono,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
c961acf5-00f1-4933-8ea1-cbe25f387189,Fast Auroral Snapshot (FAST),https://helio.data.nasa.gov/mission/FAST,Observatory,2,Observatories,Fast Auroral Snapshot,https://spase-metadata.org/SMWG/Observatory/FAST,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
175ff53f-3d71-457c-ae08-c2159f5a9077,Geomagnetic Tail Lab (Geotail),https://helio.data.nasa.gov/mission/Geotail,Observatory,2,Observatories,Geomagnetic Tail Lab,https://spase-metadata.org/SMWG/Observatory/Geotail,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
eb00a7fc-11dc-4b6c-bff5-fa84a7a419bd,Van Allen Probes (RBSP),https://helio.data.nasa.gov/mission/RBSP,Observatory,2,Observatories,Van Allen Probes,https://spase-metadata.org/SMWG/Observatory/RBSP,Observatory,helio-bridge,high,yes,rewrite,,PySPEDAS; SPEDAS (Space Physics Environment Data Analysis System)
d69757e3-c002-4c2c-b2da-aa3fc6dd5818,PROBA2 (PROBA 2),https://helio.data.nasa.gov/mission/PROBA2,Observatory,2,Observatories,PROBA 2,https://spase-metadata.org/SMWG/Observatory/PROBA2,Observatory,helio-bridge,high,yes,rewrite,,SunPy; sunkit-instruments
dfbc317f-264b-4b7c-ab5b-a094da5d8db5,Hinode,https://helio.data.nasa.gov/mission/Hinode,Observatory,2,Observatories,Hinode,https://spase-metadata.org/SMWG/Observatory/Hinode,Observatory,helio-bridge,high,yes,rewrite,,SunPy; XRTpy
66fe82ee-f07f-439a-a65c-622dd66cb022,ACE Magnetometer (MAG),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,ACEmag
18a040a1-6ac6-4e58-9d4c-a660dbe01a5b,ACE (Advanced Composition Explorer),,Observatory,1,Observatories,Advanced Composition Explorer,https://spase-metadata.org/SMWG/Observatory/ACE,Observatory,name-match,high,yes,rewrite,ACEmag description is ACE magnetometer data and target is canonical ACE observatory,ACEmag
a21576b9-0e39-4531-878f-333515ca6918,Digital All Sky Cameras,,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,AstrometryAzEl
355d1d1d-2c67-4ba5-b9a4-bb126f3b6f0c,DASC (Digital All-Sky Camera),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,DASCutils
f0740acb-f0be-45ec-8df3-e5f5e4269fc2,University of Alaska Geophysical Institute,,Observatory,1,Observatories,,,,manual,low,no,,no canonical name match,DASCutils
837b96b6-fc89-4369-a2a8-ff1e7effd786,Digital Meridian Spectrometer,,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,Digital Meridian Spectrometer
7132d982-0933-40b8-bac6-5ed712a6e2c4,CHAllenging Microsatellite Payload (CHAMP),https://helio.data.nasa.gov/mission/CHAMP,Observatory,1,Observatories,CHAMP,https://spase-metadata.org/SMWG/Observatory/CHAMP,Observatory,helio-bridge,high,yes,rewrite,,GeospaceLAB
eded9159-01a6-4f96-8798-2a8676c64d8f,GIMA (Geophysical Institute Magnetometer Array),,Instrument,1,Instruments,GIMA,https://spase-metadata.org/SMWG/Observatory/Ground/GIMA,Observatory,name-match-typediff,high,yes,move,TYPE Instrument->Observatory; target definition describes the UAF/Alaska GIMA magnetometer network,GIMAmag
