id,name,identifier,funder
ebc514ba-2487-42a6-b657-a7e959eabece,dbprocessing: Space Science Data Processing Controller in Python,80NSSC21K0307,a4e07475-572f-48db-b2e7-5d59ea194465
8fa54077-9e9a-40b4-9b30-e57ab20ea9c4,EarthCube Data Capabilities: Collaborative Proposal: Assimilative Mapping of Geospace Observations,ICER-1928327,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
a911b2ed-d02e-4466-80ba-2a9f46fd32e0,EarthCube Data Capabilities: Collaborative Proposal: Assimilative Mapping of Geospace Observations,ICER-1928358,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
3f42d689-0746-4a68-a17d-0d62143e503e,EarthCube Data Capabilities: Collaborative Proposal: Assimilative Mapping of Geospace Observations,ICER-1928403,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
7836a1df-58fb-447b-9a20-112746613b70,EarthCube Data Capabilities--Jupyter Meets the Earth: Enabling Discovery in Geoscience through Interactive Computing at Scale,1928406,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
704698e9-88b4-4ed0-81ea-36c6e2a7eac2,EarthCube Data Capabilities--Jupyter Meets the Earth: Enabling Discovery in Geoscience through Interactive Computing at Scale,1928374,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
55377cf8-f4ad-48d3-90ea-de14a577ac32,Enabling Transformational Science and Engineering Through Collaborative Visualization and Data Analysis,09-06379,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
3a1d62c5-ffcc-4126-8892-f48ec88a3460,Enhanced lead time for geomagnetic storms,P31659,1241b7fb-f105-44bc-bfce-b952c018f3c4
5e436c1c-8128-496d-84d7-c4d01f4e14a4,Enhancing Heliophysics Python Library Interoperability by Adapting Common Data Models,80NSSC21K0304,a4e07475-572f-48db-b2e7-5d59ea194465
d3382fe5-20eb-4a2d-9078-11fd484ae7bd,Hinode X-Ray Telescope,NNM07AB07C,a4e07475-572f-48db-b2e7-5d59ea194465
531ef7c5-d8fe-43f2-8494-368d07c133b8,Improving SpiceyPy: the Python SPICE interface,80NSSC25K7040,a4e07475-572f-48db-b2e7-5d59ea194465
0ea9ff0a-ad15-441b-a258-dff3466ac3cd,Improving the Usability of sunpy's Data Downloader,,5c95c463-a7e1-4bf9-a4b2-ae646aa52e20
08b7d7d4-90e1-4ddc-a0eb-6820acf6952d,ITR:  Gleaning Insight into Large Time-Varying Scientific and Engineering Data,03-25934,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
7592b136-a6f6-459e-846e-5d37ae14e567,Kamodo Containerized Space Weather Models,80NSSC21C0585,a4e07475-572f-48db-b2e7-5d59ea194465
28df1422-3517-435c-9983-1cfba3aac0ca,Kamodo Containerized Space Weather Models,80NSSC20C0290,a4e07475-572f-48db-b2e7-5d59ea194465
ceeadf39-c8be-483c-a4b9-d50dad256740,"Kvantum Institute funding for the development of GeospaceLAB, University of Oulu",,5639973f-3756-4eda-a4ec-1c2b928968b3
8c3ec185-4c68-4788-ab43-775b6b068539,Major Research Instrumentation,AGS-1919310,d5a4780e-bb5f-4a1c-8ce0-641a66110ac5
b0b26093-852d-41f0-8990-aa2da4177360,MAVEN mission support through the NASA Mars Exploration Program,NNH10CC04C,a4e07475-572f-48db-b2e7-5d59ea194465
44ae23c1-6496-4902-b550-9a228665310b,Mercury in the solar wind: adaptive kinetic model for space weather at solar system's innermost planet,101124960,4b222312-4d70-4dbd-b2bf-4b9c5fddf368
87e22d13-7ee2-428f-8571-b71e82917290,NASA AI/ML Use Case Program,80NSSC21K1370,a4e07475-572f-48db-b2e7-5d59ea194465
76582921-b278-49bc-82ed-971c627a0795,NASA contract NAS5-38099,NAS5-38099,a4e07475-572f-48db-b2e7-5d59ea194465
45614314-602a-417a-a415-a5542087edd0,NASA Cooperative Agreement,NNG11PL10A,a4e07475-572f-48db-b2e7-5d59ea194465
