id,name,identifier,definition,abbreviation,backgroundColor,textColor,children
34c98391-d40a-40b0-af63-91be89b77530,Mission-related,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#MissionRelated,,MiRe,#50E5C5,#000000,"1412b4f6-1e06-4135-984c-3ff2400472fa,d2641475-2f7a-4e95-bbf0-f7701cb76bde,6e210d8f-7486-4421-a8d8-329b2a8d9fc0,bc9d6e57-57f1-4791-8343-eb8fdf6897f0,6f0ec84d-fa1e-490b-b99e-62b69f17cab7,08b2f562-51a5-48a1-96c9-08ad0f558a13,9cc85da2-6697-4b9f-96fb-d2006ae2e576,3546086a-4087-459b-92a8-4db2fe28ed6a,93916a94-99af-441f-8900-1c2b3890a183,cf7c276e-e92a-498a-91d5-b50b249f6677,e409c1b7-060f-4bf0-a074-dd6cbf5b6380,59efcc8d-917f-4f16-9169-cc3d22281dae,451de399-2de9-4d1a-892b-7f46f88677fb,0a10a375-cfa3-4a58-befd-559990c30d44,f155ebfc-ec77-4fd7-a6b1-7983b2dad245,79056727-ca0f-442c-bbc7-29a68dd7b695,3b715e20-a87c-4ab8-b903-3d38f45bbfff,0c89b392-9a9b-4b7c-b7a2-aacfa6dcfdb3"
1412b4f6-1e06-4135-984c-3ff2400472fa,Analysis,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Analysis,,Anal,#ACE5D9,#000000,
d2641475-2f7a-4e95-bbf0-f7701cb76bde,Archive,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Archive,,Arch,#ACE5D9,#000000,
6e210d8f-7486-4421-a8d8-329b2a8d9fc0,Calibration,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Calibration,,Cali,#ACE5D9,#000000,
bc9d6e57-57f1-4791-8343-eb8fdf6897f0,Distribution/Access,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DistributionAccess,,Dist,#ACE5D9,#000000,
6f0ec84d-fa1e-490b-b99e-62b69f17cab7,Infrastructure as Code,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#IaC,,InAC,#ACE5D9,#000000,
08b2f562-51a5-48a1-96c9-08ad0f558a13,Ingest,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Ingest,,Inge,#ACE5D9,#000000,
9cc85da2-6697-4b9f-96fb-d2006ae2e576,Instrumentation,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Instrumentation,,Inst,#ACE5D9,#000000,
3546086a-4087-459b-92a8-4db2fe28ed6a,Inventory,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Inventory,,Inve,#ACE5D9,#000000,
93916a94-99af-441f-8900-1c2b3890a183,ML/AI,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#MLAI,,Ml/A,#ACE5D9,#000000,
