id,name,identifier,definition,image
c780e528-9035-4839-a7d6-1eabe301c97f,Abandoned,https://www.repostatus.org/#abandoned,"Initial development has started, but there has not yet been a stable, usable release; the project has been abandoned and the author(s) do not intend on continuing development.",
cbf7ca6c-134e-42fe-8ec2-3084c026ff56,Active,https://www.repostatus.org/#active,"The project has reached a stable, usable state and is being actively developed.",
28117fb8-70ef-4765-ba79-f0bfd58ae43a,Concept,https://www.repostatus.org/#concept,"Minimal or no implementation has been done yet, or the repository is only intended to be a limited example, demo, or proof-of-concept.",
d0b6ceca-e6a8-4867-90a7-fc8071ab2e01,Inactive,https://www.repostatus.org/#inactive,"The project has reached a stable, usable state but is no longer being actively developed; support/maintenance will be provided as time allows.",
a18275e2-be9f-4c8c-9b67-e357ed871900,Moved,https://www.repostatus.org/#moved,"The project has been moved to a new location, and the version at that location should be considered authoritative.",
762a4fc0-6147-4fba-9c44-e589eef0bfbf,Suspended,https://www.repostatus.org/#suspended,"Initial development has started, but there has not yet been a stable, usable release; work has been stopped for the time being but the author(s) intend on resuming work.",
77073f64-4b6a-480f-957d-118f1c434c8e,Unsupported,https://www.repostatus.org/#unsupported,"The project has reached a stable, usable state but the author(s) have ceased all work on it. A new maintainer may be desired.",
f537a599-ecc8-488a-9132-cf952313af19,WIP,https://www.repostatus.org/#wip,"Initial development is in progress, but there has not yet been a stable, usable release suitable for the public.",
