id,name
37b706f3-d93f-4435-8b7e-d26644ddfd30,data_retrieval
6af4e4ff-ca94-4e88-a825-53c43b2b9d10,data visualization
4e7115af-1b81-4ca7-b261-7940dd651ec8,date-conversion
6bde188a-cfc7-4c04-baa2-4bbf96b55cb9,declination
a6c31435-2d69-4991-8073-efbdf4e6ccee,decoding
e68e8ad3-e443-447f-ae5f-7e39e4413aa3,decommutation
853adb4f-709b-4aea-b519-c2c3f54cabaa,deep learning
731a8319-3065-4e01-86ef-99687f309c6d,dkist
32e14a27-edb6-45e3-a3b5-69345e3b9ece,dmsp
a84d585b-c0a5-4d92-ae79-c593f7d6e0b6,dscovr
c81dfd22-3b80-4783-b21f-d009e40e4334,dst index
a0359da0-9355-4217-b653-1e485c7658ea,earth magnetic field
8f1d0c47-a40c-4657-b1f2-94ff18517834,earth observation
31703528-a493-471a-9880-2c67b2355c5a,earth system model
7e06dc65-8f88-45d9-aa3f-5ef150b32137,eiscat
4811c164-7d06-4845-95ad-c71cb87bcbc1,electric field
d041880a-b0a8-4571-afed-0c970c8a1973,electric field mapping
a7a5a0f3-fe98-4804-940d-8de3ab725e90,electric fields
0f9a1ee0-8ad6-4525-8df2-344a38d5f083,electrodynamics
d0482a9f-dee4-40c5-91d3-a1dabee17386,electron density
d2bc892c-45d4-4357-8b33-68ccf9b08440,electron precipitation
49e8a801-c3f0-4043-899a-2e7da071d05b,electron temperature
a67ac777-7ec0-4c68-ae09-541af914a323,elfin
97c079a8-b323-4d63-801c-53b92b75484f,emission
d1ed3417-d051-4f70-87e5-6da3bd504b6a,empirical model
75ec7fe1-5291-4268-bdd6-2b7d5bf0d71b,enlil
e2beef79-8312-4db0-abf2-32440274f958,ephemeris
da67a035-f62f-4cef-b988-588229414143,equator s
732d6095-85fe-4b0c-a45e-af2a3b797680,erg
1d4fdf94-a85a-448e-be83-c5dfa24d45dd,esa
01c8fa66-67f7-45ee-9e06-c28be6f431af,euv
737c48fe-9cb7-43ac-a4b1-b7e8f4ab6b74,euv waves
8b8f5063-ac8f-43b7-b1e4-33924c5fbaf5,event detection
349385c0-fde6-4f5c-8d5b-032c34157624,excitation rates
1db2e267-2b16-467b-9bfa-4f306429f515,extreme ultraviolet
8ca0c394-23a1-4346-9ba5-41e70d05495a,f2py
e2850c52-a266-474f-beb6-b24d6717a566,fast
f2ed22c9-604e-4685-a69a-0fc8160187da,fermi
d8a0af88-9ea1-4c9c-ba43-81d2cec23c44,field aligned
d67d2052-c84d-4212-a291-dc1630f3215e,field line tracing
c050ce89-2037-4973-b39d-4effdc4de429,field-line tracing
3fcb2d71-faba-4305-a537-e3510058e124,fields
93bb8b49-d2d7-40f4-a5e4-967df20e6171,fits
354e8131-fbee-4a1e-9e65-b382e8b582e0,fitting
9df2f7c1-7e70-4215-86bc-35fa4f03f8c4,flare detection
93c0d169-b829-48fa-b3f6-afb587264596,flct
27a4ac6f-2585-45fb-9724-f319bf968173,flight control
a835d6e8-3c0b-4360-aed5-3bf3a446a5a0,flow field
f733a2ea-2dd2-4423-8a63-3039a2b3cc47,fluid dynamics
dcc2bda3-d0fc-4c28-80fa-f031fcba48e8,flux rope detection
24c866be-7e3b-4f71-958a-ecf9260b07e2,flux rope reconstruction
000a211b-15df-4d6b-b679-daaf781b99bb,fortran
48c5474a-1b25-48a7-9757-dfd899628ae5,fourier local correlation tracking
0afdfe32-c26b-4da0-b813-48bedb3ae84a,functionalization
7aab6caf-c730-4e92-a891-31b748bd3d98,fusion
bd8f38c5-caf8-4996-a45d-ccd34ebc2b42,gaussian processes
dae5d30f-2d46-4178-979f-bb8686f17272,general
f1e0eb79-7f8d-40a0-ad4d-8654586815d7,geodesy
f83bcd90-c63f-4c32-8ec6-08ef578ea471,geolocation
ef2d1318-5e37-4140-ae47-91df65990d65,geomagnetic
454eb6e3-dc16-4d6b-8300-a7db856bd0a2,geomagnetic cutoff
fcef540a-15b3-4025-9b76-c8220cf6df46,geomagnetic field
3be5059d-b41a-411f-8011-062c103b91f2,geomagnetic index
0b027f34-27df-40eb-95f5-234761539cd3,geomagnetism
e233ce92-6fc6-4d72-ae71-1dae63be3009,geometry
a3c32918-fcfe-4670-823d-4679ed5ed6ae,geopack
3325141e-4dfa-41cb-ae53-271d378e56cc,geophysical indices
365ed46a-b2f4-4616-86ce-9c8eeacac7fb,geophysical-institute
e8a76664-634c-4698-9535-b1f234842baf,geophysics
04e9fd40-f52d-4d9a-9bbd-639ae7b80e6a,geoscience
85f0af6b-4960-4865-b91a-32b99df28d81,geospace
e7dd6813-4a6b-4250-b2b8-2217a7eaf30a,geotail
f0ce09ec-4a54-4edd-86d0-2ffd30df77ca,gmag
a0c6ff32-b1c4-4ec1-a5a9-e5754390143d,gnss
f4f0731f-fbb1-49d7-8cc4-e8b1b63037de,goes
91ccee19-d55b-424f-a88b-dfe5ab499d90,goes13
1d8ce947-b942-478b-a054-4fedd12b2cee,goes16
23f9b1f6-8e91-4a2a-a387-b18ed68b5ec8,gps
0766354e-ac7f-4224-817d-a181cad23599,grad shafranov
60b921f2-93de-4539-afa2-0c5e7593520a,grid locator
61701154-2e95-47c4-b101-38508a224a95,ground magnetometer
df192e2e-7ff1-4c25-b4b9-0019c6b5faab,gui
b60d7dac-3dd2-4ddb-9cd3-95106029bdc8,hacktoberfest
ded41705-3a2e-4124-ada8-441b9c2e3c1c,hapi
4063b9dd-1f3c-4682-9ebe-61754ef284d3,hdf5
c8de4ad3-1e94-421f-a3f8-8823f174b3f1,heliophysics
a5e307ab-2e31-455c-a29c-4d5b99580a9a,heliosphere
51c45c61-3cb7-4652-99d7-6a5a6b0f778b,hermes
1c4ed45b-c440-48c2-a7b3-b4b62e438e09,high-energy-density physics
930e9cc9-28f8-45b0-ae21-f7378466c410,hinode spacecraft
ec514634-3c8a-4744-a352-0bdf0a972f0f,horizontal wind model
a0958e6d-62f3-452b-b282-113b08403a58,hso
3cad6ddd-fb1a-44cd-b49f-86074ce183d9,hwm
464b8bff-1a92-4161-af99-524f70b57acb,hwm93
d362a612-07f1-405d-9338-fb6a79bd2729,icon
edc90521-144a-4b02-86d6-a6f70a3e7c3e,idl
436a1cd1-7d04-4cc2-8074-def80349f602,idl save
ac090fad-af67-46bf-8e8a-122f4d432f95,IDL SPEDAS
caffa93f-c1bf-41b9-a24d-4eca6c41646d,igrf
7257a461-ac0d-472f-b112-187e09d6916a,igrf12
8c8ee209-ba4f-4160-b94a-f751b68dc51b,igrf13
b429ef22-474f-4467-852a-18f2d209b3ec,image
4ed9e1dd-8486-4d85-8e0c-2ac4528772a0,image analysis
c210a733-c77f-409f-9999-f20441eb3e40,image processing
42ce08f8-65ce-4fb4-bfd7-868717549041,image reconstruction
d9a89a58-69d0-47bb-a847-a515cfeb2eed,IMF
07b1a9da-35e3-4b7e-a760-d6e975ad8f2d,inclination
8ff3ab6e-5071-41ce-8fba-4ab639e77cfd,incoherent scatter radar
d3cc9aeb-7e16-4fb6-9d20-16b8f1391ec0,in situ measurements
788c1684-ee6d-40b5-a595-2147ce51c68a,instability classification
0fadecab-0e19-46cf-9a51-d43beff733df,instrumentation
581dfedd-a42c-4c8a-8a83-e2fcad5c43ff,instrument data
eb8669e1-42a1-401f-9d7f-de5bd66bc460,instrument response
f55269cb-ac4c-4b21-a4df-723eb43e932f,interactive
516292f8-0a07-4fb2-b8fe-3b6684a26d1f,interferometry
dd12e437-7949-4d1e-97dc-8781e873b77f,International Reference Ionosphere
e41385e3-a6d1-4ce4-84d0-af5642099f92,interpolation
b07819e6-9d2f-4d81-8935-0d61753b53c1,inverse problems
64173d5a-053d-4bc5-b474-354399b0b062,ion drift mapping
b903dc4f-3ed0-4f2b-a671-a309c1312ad7,ionogram
e448c03c-7de2-4d42-9e60-815b6caa862a,ionosonde
a06141be-91d4-4b51-b597-7dab3213178a,ionosphere
8abdaeaa-9590-466b-8c90-dee3beeefc11,ionosphere modeling
69de5114-dc0d-4348-a5c3-54ac4d99a006,ionosphere-modeling
26280f9f-9c08-4b72-acd2-fe27eea943bf,ionosphere thermosphere mesosphere
bbd193e0-c22a-4c1d-a787-3efaa787c893,ionosphere_thermosphere_mesosphere
6982c10b-5c1b-4e3a-9ead-6d28862a752a,ionospheric fluid electrodynamics
38b5ba56-5028-4220-81ee-72433b86d94a,ionospheric physics
dcea5ba1-f07d-4ca8-9c00-f9249cf4eb73,ionospheric sounding
9986c7d4-1117-40cf-bf39-516f2e7bc896,ion temperature
c61f6818-7d02-4ed4-a509-1c169be2f4d5,iri
ce1c86ce-b66e-4b99-a276-0eba9d18bf4a,iris
50b5b1b8-a55d-4ec0-b110-177c6ca4c84d,istp
433c87a4-82e2-4d6d-a333-fdca3114313c,iugonet
615d7079-6f78-48d7-9f5b-7d1f2e9244cf,jaxa
309be1e4-4112-4125-b248-b6a10c8cc9de,jpl
5fb17ea3-b3a7-4c76-b772-177c5074a510,json
62a8dc50-3578-45ed-b5e3-b000f0f15ca8,julia
7b845cbf-40ce-48af-b5fd-2781d6e5d410,kaiju
8d152c79-d808-4e0e-ac83-b4aafc8d1c94,kompsat
f16c99d6-9693-4b36-8251-fda5b06acacd,kp index
9bd6669a-d83a-4294-8dec-15c1be2b82d5,kyoto dst
12d22617-06e4-40b7-ba60-524b305a6530,Langmuir probes
e2931f65-9469-48ec-9976-ba7fd84215c0,line plots
e49df31a-d5b2-43ae-88e5-0ae12d74a2d2,line_plots
7a939362-d9f8-4128-a646-38e81f553916,lmsal
aeeea1d5-58cb-4b00-ac16-2b222f79d792,local
d0890d23-23fa-4a3b-93cf-40a268e727e0,location
cf5128b4-9704-4b0d-8933-c7185ce48247,lofar
3c2d00ec-4922-4860-b734-58e66883f113,lowtran
b8099afe-1fe3-485d-a8fa-f5288b2a47ae,l shell
3e17c73a-9754-43f8-9450-f8acf8d45319,lyra
ac4323d7-c0de-4c9a-8731-2ce1c606b2be,machine learning
5a12d5ac-25e6-4472-9d56-520a31eccf76,madrigal
d7a983c0-bde6-4027-ab32-b69a1d5c2981,mag
23f571fc-97ff-4514-a1d3-c1e88f87aed9,mage
ce81db34-0e83-4736-8dba-67bbe85dc7e0,magnetic apex coordinates
f91fbded-106f-4288-8353-96af3e4ad899,magnetic coordinates
9f983a01-e9e6-41de-970f-8d431d79ce27,magnetic field
cf805a2a-6a80-4133-a1cf-9913b5f2afcc,magnetic field modeling
29d44742-2730-40c8-b1df-3f5826593339,magnetic field models
6f15480d-e2e4-4d35-8dd8-90f7fa64bb05,magnetic fields
c3764d26-b0d7-4da4-92fb-0c0c8bae6982,magnetic flux ropes
efb9c5f8-a408-4a73-bbd3-a29c81dfaa58,magnetic local time
fe7e1d58-133a-454d-a3e0-10d0d0b005bf,magnetism
42f3b9b7-42aa-4b73-8ea2-2594c93d2618,magnetogram
d17a93da-de27-4b24-b606-2a8368c90185,magnetohydrodynamics
a6f8a5e9-0a6e-4ec0-9cb2-4f89ad9f33fa,magnetometer
e0e47e8f-eb01-4a48-b02f-cb288a3ad43a,magnetosphere
7df2cea1-ddd0-44ab-95b5-9df4435597b5,magnetotelluric
f5cb7636-4781-42e1-bc77-4c223c5008f2,maidenhead
da4818d3-1894-4f67-bd44-e1a299f4a9ca,mars
9e57b7ae-e1d6-4c79-89c3-920b34b9f98f,mars-global-surveyor
71daa705-6da2-41d5-95e9-fa27fcb4bf0b,Mars global surveyor
7d626d0e-652a-4820-810f-c2a585d7d804,matlab
ff7870ce-2de0-4602-8f16-b75927adea91,matlab-python-interface
96087f22-4a57-4b73-a13e-153bc7b6a523,maven
b346a12f-ea41-4891-9045-161f4360fe40,meridional
6aac037e-3f53-4ba0-b2b0-47ffd6126864,mesosphere
17cc1190-514d-4a82-8483-2c3137e34ba9,metadata
a61b1be6-bc4f-467d-9ff6-e500d36c3fa6,mica
ac95a9c6-ce70-48ed-a092-8c02cfb9ab27,mlt
18314bac-3133-41b8-bd62-a3c0c929dd3e,mms
7d7c940d-b068-453c-89d0-6da71dc94cbb,model-data comparison
cb327c2d-25e9-4645-9a16-adf50a331ff8,modeling
3bf25213-85e9-43c1-a66d-575720721d23,model output
be23c95d-5265-48aa-8b90-54320ec84ee2,models
baefae43-290d-4ede-8b95-634176232557,modified apex
cbb2fe04-61e8-4921-b093-c108e8072e44,moments
656947a9-df0e-4e90-bccb-8f9a97f54f75,msis
eb419021-3293-49de-b6b8-8b025ea160c1,multidimensional
de109dbb-ed70-4267-8209-4643300ebdbb,multi dimensional data
b31454f5-440c-4eba-8c84-661d295ec8aa,multipole
f178cb01-d745-4d02-9bef-a0e56c0eb343,naif
817fb6c6-4a49-4a30-b9c2-31edec30dcf2,nasa
5e590ebd-59ec-4e2c-895b-72580524514e,nasa api
c7832fde-8d0a-489a-87ae-b65ce7d5efd2,nasa cdf
