id,sort_value,software,person
93,1,d176bc00-f198-4250-b9d7-5193f621fd60,a898e590-9e33-454e-adf9-b25958194eba
21,1,afcb9669-1336-48ff-ad58-a7446b8b09f0,5a7aa461-5232-4d6f-90e9-7cda85341c38
725,1,a562afcf-b6f7-4ddd-be72-d450f8de9fc0,6cb83664-92d7-445d-9116-f271790867f0
159,1,1744df14-f1f1-451b-a384-28e3a1beba7f,5d8b609a-b25e-4155-9e39-62bb690f93a3
739,1,8ee452af-f474-42ab-900a-691a1e25257f,6ae1e775-7e0b-4156-a246-7ea52fe37a50
146,1,6325743f-ad5d-4c24-aca3-6262a70d78d7,a2407cea-4581-4ce7-9884-8ec301a99853
144,1,96059067-e0dd-4d80-b2bf-60ec9378609d,6501bf4a-0cec-486f-8aa9-8ba3f2f45069
5,1,dda4b683-307d-4145-b75c-59f61c442484,6ae1e775-7e0b-4156-a246-7ea52fe37a50
143,1,c5b93d11-92e0-46cd-8616-427edce159d2,9bbdc073-135b-4c85-b85b-50f25ac9b127
138,1,e2ca7d39-4fae-4ced-9dc2-b2593241b407,fbce5f2b-fae0-4652-ba3f-9b79c4a84201
22,1,18ff9253-b11c-4ffa-9c3b-4b167c9f8cf2,52da8ed1-f691-46f3-9827-6800e0e0bfd7
745,1,a74cb76b-da08-4412-817f-3240e52c5dde,6ae1e775-7e0b-4156-a246-7ea52fe37a50
137,1,ac1149e1-6679-4466-a445-1f6dd0ecd883,9bdd5e63-96a8-48e6-8860-cf9469c98178
106,1,b5867d88-1fd5-476e-98e0-498ccbf41655,9216cf52-d2bb-46ba-857a-049d0a574f22
339,1,54da66af-5ce4-4975-8560-258824988821,e401fe95-ab39-4d61-9cf8-3ce1108dbda2
136,1,80c6de8f-a5f2-4897-9ca8-593d8a126590,c7296c29-9810-4513-b9bb-cdefe18253b3
129,1,e2069dd1-ba2f-45fa-b2b7-9052a16f74cc,fbed1404-f77c-4223-9c12-08f6e84ae07d
126,1,aebd4757-08dc-4ca0-be33-aa85171de59d,a4af177d-9fda-4851-8e9a-f70edad2179f
121,1,e8b6fe34-d598-4d53-86d0-288bc004c3e7,5564db15-b17e-4f59-9fe0-30a21be50ca9
118,1,3f058476-5010-48f4-9bd9-e27648d2ecea,de7c0779-16ad-4710-83fe-433ebcb2b5c7
307,1,ec808735-972e-41e7-8549-a96d93881e26,0142a50e-03fd-4949-93fc-2e08feee0c12
114,1,0321f375-4f6c-47d8-9181-125b0274ee6b,6ae1e775-7e0b-4156-a246-7ea52fe37a50
306,1,20aeb28e-66c8-4695-a722-89a7f807c795,08ab7612-7a68-41ee-bb8e-65b277bc2fc3
116,1,6e225ee4-8f52-4441-a7e9-0ed2ca804067,1e45c8d8-ab4f-4cd7-8055-14454adc50fb
117,1,54e3e7bc-9a9b-472f-a469-79f493328672,43941c6f-4e5e-4797-8937-b01446b2aede
305,1,9de35b9b-704e-4cf3-b580-fff54b9ede15,74b3ece2-dc52-4e1a-b5fa-8bfc8cd12014
304,1,82f57fc4-357f-49d3-af4b-e8bfb0a35210,5819efb0-3fb9-4e98-95f2-5b14c49d7f68
297,1,9188840c-25ba-4ec8-b8c3-d32413aaf7a0,fa83ef07-cbd2-45d4-85ab-f6a42c6af06b
291,1,bdd706f0-b987-446b-b650-78d9d86f00b2,aa939ba6-fa40-420b-9161-1e5c492f2936
290,1,a53ebbd1-0f08-4bf6-aeaa-90067a3b1312,5d44a4a7-69cb-4170-85f6-5caae92d5516
31,1,43700827-e657-4937-ae69-c333b70d3756,a94e5d35-949a-43d4-ad57-48e5dddfd5c0
331,1,181726f7-b361-4d04-8235-15729283791d,0cb453e6-fd34-4e1a-b819-2c20a2671849
33,1,428a1d93-e1a5-407b-90a4-9bb2b85e39ec,3c43820b-198f-43ed-8263-8df835a126e2
341,1,06813bb3-7c73-425d-b9fe-6b4e80add160,f30bcf6d-d1bd-42a6-844a-82eab8ae2dd2
35,1,aade4249-dedf-4938-9ad1-432553bf0c36,bede8ae3-bc2f-4b0d-960a-2eef7f14e6d8
330,1,6b9189ab-3bdf-4b2c-9d95-2a5b93e72f69,93622cf0-4bce-4036-9f6a-f4fc47ee1a62
287,1,84062431-340c-4ac1-bdc9-a79a431d9869,78975cd1-de6e-4ffa-a22c-3580a04d6995
286,1,b5c250bc-fe00-41b8-b06b-2f4c3e688520,912b2856-0a80-4174-a0e8-aefddd7638a1
285,1,d5abf164-694c-4a24-8528-7395a7a01326,7ca2877b-19ca-47d2-a187-f497edd2841f
40,1,11cb7b68-cfe7-4d6c-84ed-af5ab071e74c,0f44a1f3-e5a4-479d-8a63-874ca10274b9
337,1,f2cb2434-7d2e-4d87-8b97-6546d4931b29,89cd879b-51e0-4596-83b0-24033301b16b
343,1,596d3936-d754-4c02-b8ae-20f69d4ac16b,bbd2089d-b373-4b2a-be74-3087974f6db3
346,1,7bd65217-fdbe-4945-a657-496a494fff48,925f4fe8-d6e1-4cf4-99d4-6f850f4d80c0
273,1,dab7d824-81ec-49ba-911a-b3d081469a84,adc78ed0-7599-4988-af2f-a09a83f951bd
269,1,a73ebc78-1f89-4af8-8f67-2e35de947d16,4692a7c0-7de7-4974-b8b2-1d8a0bc0115e
259,1,37a18000-2d1f-41db-afe6-6545f817bcb7,40c2afb0-dfef-4be8-9ac7-12a046cb71c6
4,1,3fddfda7-5eca-4501-839e-765eb49a8c1b,9aef4a65-e1ef-4fb3-9f0e-55746379ff4c
325,1,1b5fd49d-9131-46ee-b56a-70efbb1effe5,34f94fb2-6cec-4c4f-8890-e5539c1f2226
843,1,da5cb52c-1e0a-4c22-ab96-e05c210c0e60,f5f21e0b-7ffe-478f-a45b-e79ef6f4d9f6
256,1,59c24c09-5ecd-44c8-a324-5a7da62c634b,2f59d23f-d47f-4138-99cb-ff109a9bd78e
324,1,982c8a07-8ad1-400c-8842-2fb10ad69c21,28511e7e-ff94-4d46-ae25-22ce08add7ee
751,1,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa,9216cf52-d2bb-46ba-857a-049d0a574f22
350,1,e211347f-4b04-4765-a230-295f366390d1,f561dae0-827b-42fb-be8a-6782e9b25f10
359,1,6adc2c82-61b3-41b4-89ca-62862bfe9b9f,d866fbe3-3385-4489-bb26-f7b0e61143cc
55,1,6ad99ded-e693-4660-a1c5-86ead53a9bcf,8d4308f8-b2e7-4cc2-a7df-6cb0bb82fbce
56,1,a7f6fd15-9b3c-4cae-a029-0da92222f465,83be1bd8-e308-46dc-bd46-f4e707318ed5
322,1,fd58b98f-87d6-441b-bec8-aa79752f3c5e,a8a9a142-cc76-4c71-88da-21f792c2d849
361,1,b8495e18-9a18-4e8f-8b88-85db6e74ec22,e96a9a04-5a81-4458-83a0-7b4ddd94c1bf
59,1,fa126d2b-ea85-4237-8abd-367c1b1e4e92,4e17b0e8-2d53-47c4-88f8-aca8e9dd006a
60,1,639f0d69-543d-477f-be0f-764e9a5f08a3,d45514f9-6e6f-45ee-bf9b-120cf1dcc796
61,1,2fd43ecd-9910-48f4-bf08-f07a4445cdf2,58d5618a-09c9-4251-917d-f015f71495a9
