id,created,expiration,target_software
692ffcaf-a540-4d06-989e-989128358bc5,2025-10-14 14:57:25,2025-11-14 13:57:25,a73ebc78-1f89-4af8-8f67-2e35de947d16
235edbb0-0b3b-4a74-943c-452d70f55f75,2025-10-14 16:16:09,2025-11-14 15:16:09,dab7d824-81ec-49ba-911a-b3d081469a84
0098a738-e48d-41a3-a9f1-2cf822c03bf1,2025-10-14 17:10:04,2025-11-14 16:10:04,9188840c-25ba-4ec8-b8c3-d32413aaf7a0
b8c37468-9d78-4853-81ac-2f987fff992d,2025-10-14 17:28:39,2025-11-14 16:28:39,d6fa3131-3ab1-48c9-bd8b-31c0461a9fb5
0ace2f75-00e2-44aa-a674-4ba112087abe,2025-10-14 17:56:50,2025-11-14 16:56:50,1b5fd49d-9131-46ee-b56a-70efbb1effe5
2f95cc43-2ab9-4864-8424-e57bd0a60343,2025-10-15 16:09:51,2025-11-15 15:09:51,bdd706f0-b987-446b-b650-78d9d86f00b2
bb3712f0-ef7f-4023-92fe-ac0b0989eeb1,2025-10-15 16:39:39,2025-11-15 15:39:39,6adc2c82-61b3-41b4-89ca-62862bfe9b9f
73b848fb-eb7f-4040-b803-91d8bd30d1f7,2025-10-15 19:00:08,2025-11-15 18:00:08,110491fc-f060-4b9d-ab2c-bb0806824948
9b1a9d63-abd1-4448-8bc0-33c113741017,2025-10-15 19:12:33,2025-11-15 18:12:33,db2bcb8a-c799-4233-9699-dea23b975972
375472a9-9721-463d-ad11-514108b82ec4,2025-10-15 20:23:09,2025-11-15 19:23:09,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa
195d4964-c553-4e8f-8822-6901955b9a03,2025-10-16 15:04:59,2025-11-16 14:04:59,15e95cb0-2008-4b98-83e9-0ce5a614b42c
313cda52-0d22-4010-91bf-5abbc3f54674,2025-10-16 15:25:24,2025-11-16 14:25:24,8ee452af-f474-42ab-900a-691a1e25257f
dc457d8d-0ec3-47ad-92a5-7940e6990ccc,2025-10-17 18:06:44,2025-11-17 17:06:44,59c24c09-5ecd-44c8-a324-5a7da62c634b
9ebbc5b2-1402-44ad-9672-a3f2c612ea56,2025-10-21 10:50:38,2025-11-21 09:50:38,982c8a07-8ad1-400c-8842-2fb10ad69c21
500beac9-0a98-4fff-bc3d-8d34cf9364df,2025-10-23 04:11:27,2025-10-23 09:11:27,3f058476-5010-48f4-9bd9-e27648d2ecea
bdb30724-b4e9-4fc8-8bf1-908801b43cc1,2025-10-08 16:37:38,2025-11-08 15:37:38,8054183f-794a-4914-a8cb-a379bb9f1040
10879df2-104e-43b7-9fa0-aa543c6a8d7d,2025-10-09 15:08:46,2025-11-09 14:08:46,91f97996-69a3-43b8-bdfc-20895502415f
b7c1257a-ec48-4f30-b468-56a72259c099,2025-10-09 15:42:22,2025-11-09 14:42:22,b5867d88-1fd5-476e-98e0-498ccbf41655
e28ea5fa-e580-431f-b7f0-2c00b402c8a1,2025-10-09 16:02:03,2025-11-09 15:02:03,0321f375-4f6c-47d8-9181-125b0274ee6b
d9ff197f-ab4c-4d98-b5df-f8147462711d,2025-10-09 18:16:51,2025-11-09 17:16:51,e2069dd1-ba2f-45fa-b2b7-9052a16f74cc
a4143041-7518-4856-ac0f-8c2aef58b577,2025-10-09 19:01:04,2025-11-09 18:01:04,80c6de8f-a5f2-4897-9ca8-593d8a126590
e8762def-123f-41e8-8f81-8790310b096c,2025-10-10 13:03:18,2026-05-01 12:03:18,7fe5501b-aab0-4b70-9fef-08933ccf7480
2074f19e-a3b3-4585-8b76-0d3e3869802a,2025-10-10 13:38:09,2026-05-01 12:38:09,4409f409-077b-48c2-9421-b1802255499f
f582cfd7-7bdf-40dc-bd40-a0191ef70235,2025-10-10 12:33:34,2026-05-01 11:33:34,96059067-e0dd-4d80-b2bf-60ec9378609d
e3c20a6a-9a1d-40de-ad4a-0eb9674699c4,2025-10-10 00:57:50,2026-05-01 23:57:50,2fd43ecd-9910-48f4-bf08-f07a4445cdf2
bdae7150-a8a9-44e8-bd79-f32724c86944,2025-10-10 00:57:50,2026-05-01 23:57:50,afcb9669-1336-48ff-ad58-a7446b8b09f0
5a0b7181-42c0-4589-a44f-856fed15cc8a,2025-10-10 00:57:50,2026-05-01 23:57:50,7bd65217-fdbe-4945-a657-496a494fff48
49ca427f-3059-419c-8c02-f988bb99e3c7,2025-10-10 00:57:50,2026-05-01 23:57:50,43700827-e657-4937-ae69-c333b70d3756
3d5cb841-7b6c-4a68-a42a-5d9c5f99f2e7,2025-10-10 00:57:50,2026-05-01 23:57:50,dda4b683-307d-4145-b75c-59f61c442484
1845ba91-be5e-424f-9519-cce78643c110,2025-10-10 00:57:50,2026-05-01 23:57:50,e8b6fe34-d598-4d53-86d0-288bc004c3e7
15e42ecb-4cdd-47c1-a5b4-3cdc75561bf1,2025-10-10 00:57:50,2026-05-01 23:57:50,e211347f-4b04-4765-a230-295f366390d1
01391991-e3d0-4664-8eeb-7470c49a5f86,2025-10-10 00:57:50,2026-05-01 23:57:50,ec808735-972e-41e7-8549-a96d93881e26
