id,sort_value,software,functioncategory
672,6,4507d98e-44d1-40ea-8733-8047738b9a7a,7efdd547-fdec-4698-b5bd-2e9f817abb57
688,6,6adc2c82-61b3-41b4-89ca-62862bfe9b9f,7efdd547-fdec-4698-b5bd-2e9f817abb57
657,6,65364bdd-6a19-404a-9a87-c1aa123017d3,7efdd547-fdec-4698-b5bd-2e9f817abb57
664,6,80c6de8f-a5f2-4897-9ca8-593d8a126590,7efdd547-fdec-4698-b5bd-2e9f817abb57
692,6,13b71402-f2cb-4aa3-9b17-639652e87ca8,7efdd547-fdec-4698-b5bd-2e9f817abb57
693,6,44bf8c74-399d-4b9f-82ee-164c62e525a8,7efdd547-fdec-4698-b5bd-2e9f817abb57
682,6,1b5fd49d-9131-46ee-b56a-70efbb1effe5,7efdd547-fdec-4698-b5bd-2e9f817abb57
695,6,9da56adf-1252-4ca9-85cf-5fd8fb950cdf,7efdd547-fdec-4698-b5bd-2e9f817abb57
719,7,1b5fd49d-9131-46ee-b56a-70efbb1effe5,5552c480-2ab8-4536-a9d6-07e62af64e08
722,7,13b71402-f2cb-4aa3-9b17-639652e87ca8,5552c480-2ab8-4536-a9d6-07e62af64e08
723,7,44bf8c74-399d-4b9f-82ee-164c62e525a8,5552c480-2ab8-4536-a9d6-07e62af64e08
641,7,4409f409-077b-48c2-9421-b1802255499f,36b12c63-da8f-404a-909f-8e14df8cc7d4
640,7,7fe5501b-aab0-4b70-9fef-08933ccf7480,36b12c63-da8f-404a-909f-8e14df8cc7d4
698,7,dda4b683-307d-4145-b75c-59f61c442484,5552c480-2ab8-4536-a9d6-07e62af64e08
753,7,13659e76-e911-41da-bf99-30eb7b05defc,4b1f8cd5-9244-4b15-913d-4e8266bf2c02
702,7,65364bdd-6a19-404a-9a87-c1aa123017d3,5552c480-2ab8-4536-a9d6-07e62af64e08
751,7,982c8a07-8ad1-400c-8842-2fb10ad69c21,4b1f8cd5-9244-4b15-913d-4e8266bf2c02
636,7,18ff9253-b11c-4ffa-9c3b-4b167c9f8cf2,36b12c63-da8f-404a-909f-8e14df8cc7d4
716,7,82f57fc4-357f-49d3-af4b-e8bfb0a35210,5552c480-2ab8-4536-a9d6-07e62af64e08
