id,sort_value,software,region
388,1,6325743f-ad5d-4c24-aca3-6262a70d78d7,52c0f908-3236-4bca-be9c-8ffe777f2e61
392,1,7fe5501b-aab0-4b70-9fef-08933ccf7480,52c0f908-3236-4bca-be9c-8ffe777f2e61
394,1,4409f409-077b-48c2-9421-b1802255499f,52c0f908-3236-4bca-be9c-8ffe777f2e61
401,1,a73ebc78-1f89-4af8-8f67-2e35de947d16,52c0f908-3236-4bca-be9c-8ffe777f2e61
403,1,dab7d824-81ec-49ba-911a-b3d081469a84,52c0f908-3236-4bca-be9c-8ffe777f2e61
406,1,b5c250bc-fe00-41b8-b06b-2f4c3e688520,52c0f908-3236-4bca-be9c-8ffe777f2e61
409,1,a53ebbd1-0f08-4bf6-aeaa-90067a3b1312,52c0f908-3236-4bca-be9c-8ffe777f2e61
413,1,9188840c-25ba-4ec8-b8c3-d32413aaf7a0,52c0f908-3236-4bca-be9c-8ffe777f2e61
421,1,20aeb28e-66c8-4695-a722-89a7f807c795,52c0f908-3236-4bca-be9c-8ffe777f2e61
426,1,d6fa3131-3ab1-48c9-bd8b-31c0461a9fb5,52c0f908-3236-4bca-be9c-8ffe777f2e61
432,1,6b9189ab-3bdf-4b2c-9d95-2a5b93e72f69,52c0f908-3236-4bca-be9c-8ffe777f2e61
433,1,181726f7-b361-4d04-8235-15729283791d,52c0f908-3236-4bca-be9c-8ffe777f2e61
441,1,596d3936-d754-4c02-b8ae-20f69d4ac16b,52c0f908-3236-4bca-be9c-8ffe777f2e61
467,1,13659e76-e911-41da-bf99-30eb7b05defc,52c0f908-3236-4bca-be9c-8ffe777f2e61
469,1,52d61c70-77fd-4c4a-aae8-f4e24dde6de8,52c0f908-3236-4bca-be9c-8ffe777f2e61
471,1,15e95cb0-2008-4b98-83e9-0ce5a614b42c,52c0f908-3236-4bca-be9c-8ffe777f2e61
475,1,a74cb76b-da08-4412-817f-3240e52c5dde,92ec40e6-66f8-4836-8116-7255c2ec1c11
390,1,1744df14-f1f1-451b-a384-28e3a1beba7f,570cc790-dccf-4795-b3ca-5304457e5658
407,1,84062431-340c-4ac1-bdc9-a79a431d9869,570cc790-dccf-4795-b3ca-5304457e5658
425,1,063b5195-7e46-4b16-a45c-25393fb8675f,570cc790-dccf-4795-b3ca-5304457e5658
427,1,982c8a07-8ad1-400c-8842-2fb10ad69c21,570cc790-dccf-4795-b3ca-5304457e5658
435,1,c9f100c2-e502-4a61-94d5-87ae0f4d3646,570cc790-dccf-4795-b3ca-5304457e5658
439,1,06813bb3-7c73-425d-b9fe-6b4e80add160,570cc790-dccf-4795-b3ca-5304457e5658
457,1,d0dcf8b7-d032-481b-b80e-dea683cc1fa4,570cc790-dccf-4795-b3ca-5304457e5658
461,1,13b71402-f2cb-4aa3-9b17-639652e87ca8,570cc790-dccf-4795-b3ca-5304457e5658
465,1,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa,570cc790-dccf-4795-b3ca-5304457e5658
385,1,e2ca7d39-4fae-4ced-9dc2-b2593241b407,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
386,1,c5b93d11-92e0-46cd-8616-427edce159d2,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
473,1,a562afcf-b6f7-4ddd-be72-d450f8de9fc0,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
319,1,ac6f7ea3-062c-442f-abf9-9732a88fcc6b,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
322,1,b5742bb7-4c8e-45cd-9429-65cb75f32795,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
325,1,e57951e6-9761-421e-b482-aebfd2804c81,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
330,1,428a1d93-e1a5-407b-90a4-9bb2b85e39ec,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
331,1,aade4249-dedf-4938-9ad1-432553bf0c36,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
451,2,6adc2c82-61b3-41b4-89ca-62862bfe9b9f,570cc790-dccf-4795-b3ca-5304457e5658
368,2,b5867d88-1fd5-476e-98e0-498ccbf41655,570cc790-dccf-4795-b3ca-5304457e5658
381,2,e2069dd1-ba2f-45fa-b2b7-9052a16f74cc,570cc790-dccf-4795-b3ca-5304457e5658
384,2,ac1149e1-6679-4466-a445-1f6dd0ecd883,570cc790-dccf-4795-b3ca-5304457e5658
445,2,7bd65217-fdbe-4945-a657-496a494fff48,570cc790-dccf-4795-b3ca-5304457e5658
448,2,e211347f-4b04-4765-a230-295f366390d1,570cc790-dccf-4795-b3ca-5304457e5658
334,2,11cb7b68-cfe7-4d6c-84ed-af5ab071e74c,570cc790-dccf-4795-b3ca-5304457e5658
454,2,b8495e18-9a18-4e8f-8b88-85db6e74ec22,570cc790-dccf-4795-b3ca-5304457e5658
411,2,bdd706f0-b987-446b-b650-78d9d86f00b2,570cc790-dccf-4795-b3ca-5304457e5658
462,2,13b71402-f2cb-4aa3-9b17-639652e87ca8,92ec40e6-66f8-4836-8116-7255c2ec1c11
430,2,1b5fd49d-9131-46ee-b56a-70efbb1effe5,570cc790-dccf-4795-b3ca-5304457e5658
466,2,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa,92ec40e6-66f8-4836-8116-7255c2ec1c11
328,2,18ff9253-b11c-4ffa-9c3b-4b167c9f8cf2,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
352,2,91f97996-69a3-43b8-bdfc-20895502415f,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
375,2,e8b6fe34-d598-4d53-86d0-288bc004c3e7,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
323,2,b5742bb7-4c8e-45cd-9429-65cb75f32795,570cc790-dccf-4795-b3ca-5304457e5658
